year,type,country,activity,sex,fatal,species,especies
2017,Unprovoked,usa,Wading,F,N,unknown,
2017,Invalid,spain,Swimming,F,Unknown,shark involvement questionable,
2017,Unprovoked,new zealand,Canoeing,M,N,unknown,
2017,Unprovoked,usa,SUP,M,N,"white shark,  to ",white shark
2017,Unprovoked,bahamas,Spearfishing,M,N, shark,
2017,Unprovoked,usa,Swimming,M,N,possibly a juvenile blacktip shark,blacktip shark
2017,Unprovoked,egypt,Snorkeling,F,N,"oceanic whitetip shark, to m",whitetip shark
2017,Provoked,usa,Fishing,M,N, shark,
2017,Boat,usa,Kayaking / Fishing,M,N,"white shark, ",white shark
2017,Unprovoked,usa,Skimboarding,M,N,unknown,
2017,Invalid,usa,Swimming,M,Unknown,a small shark,
2017,Unprovoked,usa,Unknown,F,N,unknown,
2017,Unprovoked,bahamas,Snorkeling,F,N,unknown,
2017,Unprovoked,bahamas,Spearfishing,M,N,unknown,
2017,Unprovoked,"st helena, british overseas territory",Surfing,M,N,unknown,
2017,Unprovoked,usa,Unknown,F,N,sandtiger shark  ,
2017,Unprovoked,spain,Swimming,F,N,blue shark ,blue shark
2017,Unprovoked,usa,Unknown,F,N,"""a small shark""",
2017,Invalid,usa,Swimming,F,Unknown,shark involvement not confirmed,
2017,Boat,usa,Kayaking,M,N,"white shark,  to ",white shark
2017,Unprovoked,usa,SUP,M,N,"white shark,  to ",white shark
2017,Unprovoked,usa,Surfing,M,N,"white shark, ",white shark
2017,Unprovoked,australia,Surfing,M,N,unknown,
2017,Boat,usa,Kayaking,M,N,white shark,white shark
2017,Unprovoked,usa,Swimming,M,N,"bull shark,  to ",bull shark
2017,Provoked,mexico,Fishing,M,N,"tiger shark, kg",tiger shark
2017,Unprovoked,south africa,Surfing,F,N,"white shark, m",white shark
2017,Invalid,comoros,Fishing,Unknown,Unknown,shark involvement prior to death not confirmed,
2017,Invalid,usa,Fishing,M,Unknown,no shark invovlement ,
2017,Unprovoked,usa,Swimming,F,N,unknown,
2017,Unprovoked,usa,Surfing,M,N,unknown,
2017,Unprovoked,usa,Swimming,F,N,"bull shark,  to ",bull shark
2017,Unprovoked,reunion,Body boarding,M,N,"bull shark, ",bull shark
2017,Unprovoked,spain,Swimming,M,N,unknown,
2017,Unprovoked,french polynesia,Surfing,M,N,unknown,
2017,Unprovoked,bahamas,Feeding sharks,F,N,unknown,
2017,Unprovoked,australia,Body boarding,M,N,"white shark, m",white shark
2017,Unprovoked,australia,Surfing,F,N,seven-gill shark,
2017,Unprovoked,usa,Surfing,M,N,unknown,
2017,Unprovoked,united kingdom,Surfing ,M,N," shark, probably a smooth hound",
2017,Unprovoked,usa,Spearfishing,M,N, shark,
2017,Unprovoked,bahamas,Snorkeling,F,N,tiger shark,tiger shark
2017,Provoked,usa,Touching a shark,F,N, shark,
2017,Unprovoked,usa,Feeding sharks,M,N,tiger shark,tiger shark
2017,Invalid,australia,Fishing ,M,N,unknown,
2017,Unprovoked,united arab emirates,Spearfishing,M,N,unknown,
2017,Provoked,australia,Attempting to lasso a shark,M,N, shark,
2017,Unprovoked,mexico,Snorkeling,M,Y,unknown,
2017,Invalid,usa,Surfing,F,Unknown,shark involvement highly doubtful,
2017,Unprovoked,usa,Swimming,F,N,unknown,
2017,Unprovoked,south africa,Surfing,M,N,unknown,
2017,Unprovoked,usa,Surfing,F,N,unknown,
2017,Unprovoked,reunion,Body boarding,M,Y,unknown,
2017,Unprovoked,new zealand,Body boarding,F,N,unknown,
2017,Invalid,usa,Photo shoot,F,Unknown,no shark invovlement - it ws a publicity stunt,
2017,Unprovoked,"st helena, british overseas territory",Snorkeling,F,N,unknown,
2017,Invalid,usa,Swimming,M,Unknown,shark involvement not confirmed,
2017,Unprovoked,usa,Unknown,Unknown,N,unknown,
2017,Unprovoked,australia,Surfing,F,Y,white shark,white shark
2017,Unprovoked,usa,Surfing,M,N,"tiger shark, ",tiger shark
2017,Unprovoked,usa,Surfing,M,N,unknown,
2017,Unprovoked,usa,Surfing,F,N,unknown,
2017,Invalid,south africa,Scuba Diving,M,Unknown,shark involvement prior to death not confirmed,
2017,Unprovoked,usa,Surfing,F,N,unknown,
2017,Unprovoked,usa,Paddle boarding,F,N,unknown,
2017,Unprovoked,usa,Swimming,F,N,unknown,
2017,Unprovoked,usa,Swimming,M,N,unknown,
2017,Unprovoked,usa,Swimming,F,N,unknown,
2017,Unprovoked,australia,Kakaying,M,N,unknown,
2017,Unprovoked,usa,Swimming,F,N,"bull shark,  to ",bull shark
2017,Unprovoked,usa,Surfing,M,N,unknown,
2017,Unprovoked,australia,Body boarding,M,N,unknown,
2017,Boat,usa,Kayaking,M,N,white shark,white shark
2017,Unprovoked,philippines,Spearfishing,M,N, shark,
2017,Unprovoked,bahamas,Washing hands,M,N,lemon shark,lemon shark
2017,Unprovoked,australia,Snorkeling,F,N,"bull shark, 5",bull shark
2017,Unprovoked,australia,Surfing,M,N,unknown,
2017,Unprovoked,reunion,Body boarding,M,Y,unknown,
2017,Unprovoked,australia,Spearfishing,M,N,unknown,
2017,Unprovoked,usa,Swimming,M,N,unknown,
2017,Provoked,brazil,Grabbing shark for a selfie,F,N,lemon shark pup,lemon shark
2017,Boat,south africa,Kayak fishing,M,N,tiger shark,tiger shark
2017,Boat,usa,Tagging sharks,Unknown,N,"white shark, female, ",white shark
2017,Unprovoked,bahamas,Scuba Diving,M,N,caribbean reef shark,reef shark
2017,Unprovoked,brazil,Swimming,M,N,unknown,
2017,Unprovoked,usa,Unknown,M,N,unknown,
2017,Unprovoked,australia,Scuba Diving,M,N,"bull shark, m",bull shark
2017,Unprovoked,australia,Swimming,M,N,unknown,
2017,Unprovoked,usa,Unknown,M,N,unknown,
2017,Unprovoked,indonesia,Surfing,M,N,"bull shark, m",bull shark
Unknown,Invalid,australia,Spearfishing,M,Unknown,bull shark,bull shark
2017,Unprovoked,usa,Wading,M,N,unknown,
2017,Invalid,australia,Wading,M,Unknown,shark involvement not confirmed,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,australia,Snorkeling,F,N,a small shark,
2016,Unprovoked,south africa,Surf skiing ,M,N,"white shark, m",white shark
2016,Unprovoked,australia,Free diving,M,N,unknown,
2016,Unprovoked,french polynesia,Fishing,M,N,unknown,
2016,Invalid,usa,Surfing,M,Unknown,shark involvement not confirmed,
2016,Provoked,australia,Surf fishing,M,N,"wobbegong shark, ",wobbegong shark
2016,Unprovoked,australia,Surfing,M,N,white shark,white shark
2016,Provoked,australia,Fishing,M,N,"broadnose sevengill shark, m",
2016,Unprovoked,usa,Floating,F,N,tiger shark,tiger shark
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,  to  shark,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,usa,Snorkeling,F,N,unknown,
2016,Invalid,mexico,Cage Diving,M,Unknown,white shark,white shark
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfng,M,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,"white shark, m",white shark
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,m shark,
2016,Boat,australia,Fishing,Unknown,N,unknown,
2016,Unprovoked,usa,Wading,M,N, to  shark,
2016,Unprovoked,usa,Swimming,F,N,"tiger shark, ",tiger shark
2016,Unprovoked,new caledonia,Kite surfing,M,Y,unknown,
2016,Unprovoked,usa,Boogie boarding,F,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,usa,Body boarding,M,N,unknown,
2016,Unprovoked,usa,Spearfishing,M,N,"white shark,  to ",white shark
2016,Invalid,mexico,Cage Diving,Unknown,Unknown,invalid,
2016,Unprovoked,usa,Surfing,M,N,"bull shark, ",bull shark
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,reunion,Surfing,M,N,"bull shark, m",bull shark
2016,Unprovoked,usa,Wading,M,N,unknown,
2016,Unprovoked,bahamas,Snorkeling,M,N,unknown,
2016,Unprovoked,usa,SUP Foil boarding,M,N,"tiger shark,  ",tiger shark
2016,Unprovoked,usa,Surfing,M,N,blacktip shark,blacktip shark
2016,Unprovoked,spain,Swimming,M,N,blue shark,blue shark
2016,Unprovoked,china,Swimming,M,N,unknown,
2016,Boat,australia,Kayaking,M,N,white shark,white shark
2016,Provoked,usa,Lobstering,M,N,"nurse shark, ",nurse shark
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,japan,Surfing,M,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,bahamas,Spearfishing,M,N,"bull shark, ",bull shark
2016,Provoked,australia,Fishing,M,N,"reef shark, ",reef shark
2016,Boat,usa,Fishing in Alabama Deep Fishing Rodeo,Unknown,N,"tiger shark,  ",tiger shark
2016,Unprovoked,usa,Surfing,F,N,unknown,
2016,Unprovoked,usa,Unknown,F,N,unknown,
2016,Unprovoked,usa,Kite surfing,M,N,"white shark,  to ",white shark
2016,Unprovoked,usa,Swimming,M,N,unknown,
2016,Unprovoked,bahamas,Scuba Diving,M,N,"lemon shark, ",lemon shark
2016,Unprovoked,spain,Wading,F,N,angel shark,
2016,Boat,usa,Fishing for squid,M,N,white shark,white shark
2016,Provoked,usa,Fishing,M,N,dogfish shark,
2016,Boat,usa,Fishing for sharks,M,N,white shark,white shark
2016,Unprovoked,usa,Swimming,F,N,unknown,
2016,Provoked,australia,Fishing,M,N,tawny nurse shark,nurse shark
2016,Unprovoked,usa,Unknown,M,N, to  shark,
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,columbia,Scuba Diving,M,N,"caribbean reef shark, ",reef shark
2016,Unprovoked,south africa,Spearfishing,M,N,white shark,white shark
2016,Unprovoked,usa,Floating,M,N, to  shark,
2016,Unprovoked,usa,Wading,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N, to  shark,
2016,Provoked,australia,Spearfishing,M,N, shark,
2016,Unprovoked,usa,Floating in tube,F,N, to  shark,
2016,Unprovoked,usa,Standing,M,N, shark,
2016,Invalid,usa,Surfing,M,Unknown,said to involve an  shark but more likely damage caused by debris,
2016,Unprovoked,usa,Swimming,M,N,unknown,
2016,Unprovoked,australia,Diving,F,Y, m shark,
2016,Unprovoked,egypt,Swimming,M,N,mako shark,mako shark
2016,Unprovoked,australia,Spearfishing,M,Unknown,bronze whaler sharks x 3,
2016,Unprovoked,new caledonia,Kite surfing,M,N,m shark,
2016,Unprovoked,australia,Surfing,M,Y,white shark,white shark
2016,Unprovoked,usa,Swimming,F,N,unknown,
2016,Unprovoked,usa,Swimming,M,N, shark,
2016,Unprovoked,usa,Swimming,F,N,unknown,
2016,Unprovoked,usa,Swimming,F,N,"bull shark,  to ",bull shark
2016,Unprovoked,usa,Swimming,F,N,unknown,
2016,Unprovoked,usa,Swimming,M,N,"blacktip shark, ",blacktip shark
2016,Provoked,usa,Teasing a shark,F,N,"nurse shark, ",nurse shark
2016,Unprovoked,usa,Floating,M,N,unknown,
2016,Provoked,new zealand,Fishing,M,N,"mako shark, m [] ",mako shark
2016,Unprovoked,indonesia,Surfing,M,N,"bull shark, ",bull shark
2016,Unprovoked,usa,Surfing,M,N,unknown,
2016,Unprovoked,south africa,Surf-skiing,M,N,white shark,white shark
2016,Unprovoked,australia,Swimming,M,N,wobbegong shark,wobbegong shark
2016,Provoked,french polynesia,Spearfishing,M,Unknown,"grey reef shark, m",reef shark
2016,Provoked,french polynesia,Spearfishing,M,N,"grey reef shark, m",reef shark
2016,Unprovoked,usa,Spearfishing,M,N,"bull shark, ",bull shark
2016,Unprovoked,new caledonia,Walking,F,Y,"tiger shark, m",tiger shark
2016,Invalid,cape verde,Unknown,M,Unknown,shark involvement not confirmed,
2016,Unprovoked,usa,Fishing,M,N, to  shark,
2016,Invalid,usa,SUP,M,Unknown,unknown,
2016,Unprovoked,usa,Snorkeling,F,N,unknown,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Unprovoked,usa,Unknown,M,Unknown,shark involvement not confirmed,
2016,Unprovoked,australia,Surfing,M,N,unknown,
2016,Provoked,bahamas,Unknown,M,N,"nurse shark, ft",nurse shark
2016,Invalid,usa,Surfing,Unknown,Unknown,shark involvement not confirmed,
2016,Unprovoked,usa,Body surfing,M,N,unknown,
2016,Unprovoked,fiji,Diving for beche-de-mer,M,Y,unknown,
2016,Unprovoked,usa,Unknown,M,N,unknown,
2016,Unprovoked,australia,Fishing,M,N,bronze whaler,
2016,Unprovoked,brazil,Swimming,M,N,sandtiger shark,
2016,Unprovoked,new caledonia,Kite surfing,M,N,unknown,
2016,Unprovoked,new caledonia,Spearfishing,M,N,unknown,
2016,Unprovoked,dominican republic,Wading,F,N,unknown,
2016,Invalid,cayman islands,Feeding stingrays?,M,Unknown,no shark involvement,
2016,Invalid,australia,Surfing,M,Unknown,no shark involvement,
2016,Unprovoked,australia,Walking,F,N,unknown,
2016,Unprovoked,australia,Windsurfing,M,N,unknown,
2016,Unprovoked,brazil,Swimming,M,N,sandtiger shark,
2016,Boat,south africa,Kayak fishing,M,N,unknown,
2016,Unprovoked,usa,Surfing,M,N,"reef shark, ",reef shark
2016,Unprovoked,usa,Surfing,F,N,unknown,
2016,Unprovoked,usa,Spearfishing,M,N,bull sharks x 2,
2016,Boat,united arab emirates,Fishing,M,N,mako shark,mako shark
2016,Unprovoked,usa,Paddle boarding,M,N,"tiger shark, ",tiger shark
2016,Unprovoked,australia,Surfing,M,N,wobbegong shark,wobbegong shark
2016,Unprovoked,australia,Wading,M,N,blacktip shark,blacktip shark
2016,Unprovoked,australia,Spearfishing,M,N,m shark,
2015,Boat,south africa,Kayak Fishing,M,N,"white shark, m",white shark
2015,Unprovoked,spain,Swimming,F,N,"silky shark, ",silky shark
2015,Unprovoked,usa,Paddle boarding,M,N, shark,
2015,Unprovoked,australia,Surfing,M,N,"bronze whaler shark, ",
2015,Unprovoked,brazil,Scuba diving,M,N,"tiger shark, m ",tiger shark
2015,Unprovoked,aruba,Sea disaster,M,Y,unknown,
2015,Boat,australia,Fishing,Unknown,N,"white shark, m",white shark
2015,Unprovoked,bahamas,Lobster fishing,M,N,bull shark,bull shark
2015,Unprovoked,south africa,Swimming / Wading,F,N,unknown,
2015,Unprovoked,ecuador,Snorkeling,M,N,galapagos shark,galapagos shark
